City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,kodiak,57.79,-152.4072,28.4,69,40,4.61,US,2021-03-15 06:03:51
122,rocha,-34.4833,-54.3333,58.82,90,0,3.18,UY,2021-03-15 06:09:54
123,yuzhno-kurilsk,44.0306,145.8556,33.76,95,99,21.83,RU,2021-03-15 06:16:14
124,dauphin,51.1494,-100.0502,30.2,55,1,4.61,CA,2021-03-15 06:16:14
125,santa maria,-29.6842,-53.8069,65.98,95,16,7.54,BR,2021-03-15 06:16:04
126,lebu,-37.6167,-73.65,54.12,92,0,1.74,CL,2021-03-15 06:07:26
127,jamestown,42.097,-79.2353,21.0,63,1,11.05,US,2021-03-15 06:07:41
128,swift current,50.2834,-107.8014,39.2,52,20,29.93,CA,2021-03-15 06:15:03
129,saint-philippe,-21.3585,55.7679,84.2,70,0,5.75,RE,2021-03-15 06:08:18
130,rudbar,30.15,62.6,65.16,16,1,4.76,AF,2021-03-15 06:16:16
131,saint-pierre,-21.3393,55.4781,84.2,70,0,5.75,RE,2021-03-15 06:08:25
132,saint george,37.1041,-113.5841,50.0,61,1,9.22,US,2021-03-15 06:11:02
133,iznoski,54.9881,35.3108,34.99,98,100,8.84,RU,2021-03-15 06:16:18
134,torbay,47.6666,-52.7314,24.01,93,90,11.5,CA,2021-03-15 06:15:07
135,ust-tsilma,65.441,52.1498,28.58,93,100,8.19,RU,2021-03-15 06:16:18
136,road town,18.4167,-64.6167,75.99,89,79,4.0,VG,2021-03-15 06:11:11
137,basco,20.4487,121.9702,76.33,81,65,21.83,PH,2021-03-15 06:16:19
138,nishihara,26.1842,127.7558,77.0,46,20,10.36,JP,2021-03-15 06:07:49
139,katsuura,35.1333,140.3,64.99,36,20,13.8,JP,2021-03-15 06:09:25
140,henties bay,-22.116,14.2845,60.01,96,14,3.0,NA,2021-03-15 06:13:52
141,ocnita,44.9833,25.55,42.01,89,99,4.07,RO,2021-03-15 06:16:20
142,beringovskiy,63.05,179.3167,5.2,87,100,11.32,RU,2021-03-15 06:09:09
143,upernavik,72.7868,-56.1549,-8.72,99,98,5.66,GL,2021-03-15 06:07:32
144,mahebourg,-20.4081,57.7,77.0,94,75,5.75,MU,2021-03-15 06:07:21
145,ronde,56.3014,10.4751,39.2,100,90,4.61,DK,2021-03-15 06:16:21
146,luganville,-15.5333,167.1667,80.47,83,84,4.81,VU,2021-03-15 06:14:28
147,ponta do sol,32.6667,-17.1,54.0,69,95,1.99,PT,2021-03-15 06:07:30
148,christchurch,-43.5333,172.6333,73.0,49,100,10.36,NZ,2021-03-15 06:04:33
149,aasiaat,68.7098,-52.8699,3.42,94,100,6.29,GL,2021-03-15 06:15:19
150,taywarah,33.35,64.4167,41.79,24,83,4.52,AF,2021-03-15 06:16:23
151,lompoc,34.6391,-120.4579,51.8,71,90,3.15,US,2021-03-15 06:10:01
152,port elizabeth,-33.918,25.5701,68.0,100,40,8.05,ZA,2021-03-15 06:09:23
153,nicoya,10.1483,-85.452,77.0,57,0,11.5,CR,2021-03-15 06:16:24
154,nata,8.3333,-80.5167,73.99,50,0,4.0,PA,2021-03-15 06:16:24
155,oriximina,-1.7656,-55.8661,74.14,92,76,2.86,BR,2021-03-15 06:15:53
156,karaton,-6.3424,106.1045,95.0,74,40,5.75,ID,2021-03-15 06:16:25
157,saravan,39.7196,45.6483,39.2,75,90,4.61,AM,2021-03-15 06:16:26
158,chake chake,-5.2459,39.7666,87.33,51,17,1.25,TZ,2021-03-15 06:16:26
159,coracora,-15.0333,-73.7833,46.35,88,100,6.6,PE,2021-03-15 06:16:26
160,aklavik,68.2191,-135.0107,-11.2,77,95,5.75,CA,2021-03-15 06:08:01
161,cruzeiro do sul,-29.5128,-51.9853,64.99,93,31,2.08,BR,2021-03-15 06:16:27
162,ilebo,-4.3167,20.5833,73.63,97,100,1.16,CD,2021-03-15 06:07:35
163,betsiamites,48.9413,-68.646,8.6,56,90,10.36,CA,2021-03-15 06:16:28
164,abalak,58.1286,68.5944,17.06,92,90,9.35,RU,2021-03-15 06:12:11
165,lorengau,-2.0226,147.2712,84.49,65,97,4.38,PG,2021-03-15 06:14:23
166,fortuna,40.5982,-124.1573,39.99,96,100,15.66,US,2021-03-15 06:08:36
167,krasnyy oktyabr,56.1167,38.8833,34.68,98,100,11.3,RU,2021-03-15 06:16:29
168,kaeo,-35.1,173.7833,69.01,84,57,4.0,NZ,2021-03-15 06:11:10
169,mollendo,-17.0231,-72.0147,70.57,87,68,7.56,PE,2021-03-15 06:10:55
170,bluff,-46.6,168.3333,57.0,68,41,15.01,NZ,2021-03-15 06:07:52
171,longyearbyen,78.2186,15.6401,-2.2,65,75,11.5,SJ,2021-03-15 06:08:04
172,bao,13.6414,122.8314,82.2,74,79,6.24,PH,2021-03-15 06:16:30
173,togur,58.3631,82.8265,14.47,91,100,8.34,RU,2021-03-15 06:16:31
174,arlit,18.7369,7.3853,71.19,18,0,7.65,NE,2021-03-15 06:07:37
175,kununurra,-15.7667,128.7333,86.0,74,40,6.91,AU,2021-03-15 06:16:31
176,ust-kuyga,70.0167,135.6,1.67,88,100,5.28,RU,2021-03-15 06:16:32
177,biskamzha,53.4497,89.5272,20.91,93,100,5.01,RU,2021-03-15 06:16:32
178,dikson,73.5069,80.5464,-23.15,96,100,11.99,RU,2021-03-15 06:07:27
179,paso de carrasco,-34.8603,-56.0522,64.99,77,0,4.61,UY,2021-03-15 06:13:16
180,sept-iles,50.2001,-66.3821,3.2,47,90,17.27,CA,2021-03-15 06:05:05
181,jalu,29.0331,21.5482,57.97,53,0,9.51,LY,2021-03-15 06:09:34
182,coswig,51.1333,13.5833,39.0,75,40,8.05,DE,2021-03-15 06:16:34
183,leningradskiy,69.3833,178.4167,-1.17,96,100,7.76,RU,2021-03-15 06:14:20
184,genhe,50.7833,121.5167,15.17,85,100,17.38,CN,2021-03-15 06:07:40
185,nizwa,22.9333,57.5333,82.74,28,0,7.78,OM,2021-03-15 06:15:43
186,oistins,13.0667,-59.5333,78.8,73,20,11.5,BB,2021-03-15 06:16:35
187,klaksvik,62.2266,-6.589,35.6,87,20,3.44,FO,2021-03-15 06:14:20
188,ulladulla,-35.35,150.4667,69.8,35,0,9.22,AU,2021-03-15 06:16:36
189,coihaique,-45.5752,-72.0662,50.09,96,42,5.01,CL,2021-03-15 06:16:36
190,tornio,65.8481,24.1466,24.8,100,20,4.61,FI,2021-03-15 06:16:37
191,ribeira grande,38.5167,-28.7,60.28,92,56,4.88,PT,2021-03-15 06:07:32
192,saint-jean-port-joli,47.2171,-70.2658,6.8,51,100,14.97,CA,2021-03-15 06:16:37
193,moindou,-21.6924,165.677,82.4,65,20,17.27,NC,2021-03-15 06:16:38
194,berlevag,70.8578,29.0864,30.2,86,75,26.46,NO,2021-03-15 06:16:38
195,husavik,66.0449,-17.3389,15.8,92,0,5.88,IS,2021-03-15 06:14:25
196,mezhdurechensk,53.6942,88.0603,18.59,88,100,4.88,RU,2021-03-15 06:16:39
197,huarmey,-10.0681,-78.1522,73.02,71,99,5.3,PE,2021-03-15 06:13:54
198,owando,-0.4819,15.8999,73.17,89,100,3.98,CG,2021-03-15 06:16:40
199,terre-de-bas,15.8501,-61.6442,69.8,94,75,1.14,GP,2021-03-15 06:16:40
200,tondano,1.3038,124.9112,89.6,62,40,12.66,ID,2021-03-15 06:16:40
201,santa fe,-31.6333,-60.7,73.99,63,59,1.99,AR,2021-03-15 06:16:41
202,piacabucu,-10.4056,-36.4344,75.87,77,100,3.42,BR,2021-03-15 06:16:41
203,dudinka,69.4058,86.1778,-22.92,85,2,3.15,RU,2021-03-15 06:14:09
204,cocula,20.3652,-103.8222,64.4,27,1,4.61,MX,2021-03-15 06:13:22
205,chirongui,-12.9319,45.1483,86.0,70,40,6.91,YT,2021-03-15 06:16:42
206,coldwater,41.9403,-85.0005,30.2,64,1,5.75,US,2021-03-15 06:16:43
207,babynino,54.39,35.73,33.8,93,90,8.95,RU,2021-03-15 06:16:43
208,haines junction,60.7522,-137.5108,-5.8,71,61,2.3,CA,2021-03-15 06:15:36
209,sao joao da barra,-21.6403,-41.0511,74.68,90,46,9.48,BR,2021-03-15 06:09:16
210,znamenskoye,57.1281,73.8282,15.85,92,99,6.76,RU,2021-03-15 06:16:45
211,badarwas,24.9667,77.5667,91.22,15,49,6.64,IN,2021-03-15 06:16:46
212,san quintin,30.4833,-115.95,54.03,85,63,14.0,MX,2021-03-15 06:08:13
213,tuktoyaktuk,69.4541,-133.0374,-9.4,77,90,11.5,CA,2021-03-15 06:07:45
214,alofi,-19.0595,-169.9187,82.4,78,97,4.61,NU,2021-03-15 06:08:40
215,kenai,60.5544,-151.2583,19.99,86,90,5.75,US,2021-03-15 06:08:57
216,roberval,48.5168,-72.2324,1.4,55,40,14.97,CA,2021-03-15 06:16:47
217,marshall,34.3834,-86.3333,62.01,77,1,3.44,US,2021-03-15 06:16:47
218,puerto varas,-41.3195,-72.9854,53.6,87,90,8.05,CL,2021-03-15 06:16:48
219,northam,51.0333,-4.2167,48.0,92,34,15.01,GB,2021-03-15 06:11:10
220,harper,4.375,-7.7169,76.95,88,100,4.9,LR,2021-03-15 06:16:48
221,awjilah,29.1081,21.2869,58.15,55,0,10.58,LY,2021-03-15 06:07:26
222,beira,-19.8436,34.8389,82.4,83,20,8.05,MZ,2021-03-15 06:16:49
223,cabo san lucas,22.8909,-109.9124,62.6,36,1,6.91,MX,2021-03-15 06:04:02
224,jinzhou,41.1078,121.1417,56.17,26,36,15.37,CN,2021-03-15 06:16:50
225,touros,-5.1989,-35.4608,73.4,94,40,2.3,BR,2021-03-15 06:09:27
226,westlock,54.1502,-113.8688,33.8,93,90,2.3,CA,2021-03-15 06:16:51
227,limon,10.0,-83.0333,75.67,75,5,4.14,CR,2021-03-15 06:16:51
228,bathsheba,13.2167,-59.5167,78.8,73,20,11.5,BB,2021-03-15 06:14:05
229,faanui,-16.4833,-151.75,82.98,75,25,12.37,PF,2021-03-15 06:08:37
230,flinders,-34.5833,150.8552,72.0,57,0,4.0,AU,2021-03-15 06:16:37
231,wladyslawowo,54.7909,18.4009,37.99,93,75,6.91,PL,2021-03-15 06:16:52
232,omboue,-1.5746,9.2618,75.24,92,100,4.9,GA,2021-03-15 06:15:19
233,hithadhoo,-0.6,73.0833,84.65,61,57,5.91,MV,2021-03-15 06:08:45
234,omis,43.4447,16.6886,44.6,57,75,20.71,HR,2021-03-15 06:16:53
