City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,nome,64.5011,-165.4064,19.4,93,90,13.8,US,2021-03-15 06:10:37
133,zhanaozen,43.3,52.8,32.38,31,0,16.93,KZ,2021-03-15 06:18:21
134,bolama,11.5833,-15.4667,71.6,73,0,2.3,GW,2021-03-15 06:19:37
135,san jose,37.3394,-121.895,46.99,87,90,10.36,US,2021-03-15 06:08:55
136,mumbwa,-14.9783,27.0619,66.29,93,95,7.49,ZM,2021-03-15 06:19:10
137,la ronge,55.1001,-105.2842,41.0,56,13,14.97,CA,2021-03-15 06:15:00
138,chichihualco,17.6833,-99.65,63.12,75,0,5.88,MX,2021-03-15 06:19:38
139,grindavik,63.8424,-22.4338,39.2,93,90,16.11,IS,2021-03-15 06:13:47
140,palmer,42.1584,-72.3287,21.99,33,1,26.46,US,2021-03-15 06:18:21
141,dikson,73.5069,80.5464,-23.13,98,100,12.62,RU,2021-03-15 06:18:23
142,illapel,-31.6308,-71.1653,55.31,87,0,2.08,CL,2021-03-15 06:16:11
143,vanimo,-2.6741,141.3028,83.84,78,97,9.08,PG,2021-03-15 06:19:37
144,egvekinot,66.3167,-179.1667,0.14,99,100,1.95,RU,2021-03-15 06:11:07
145,georgetown,5.4112,100.3354,91.4,55,40,5.75,MY,2021-03-15 06:18:17
146,laguna,38.421,-121.4238,48.0,93,90,11.5,US,2021-03-15 06:09:56
147,nenjiang,49.1833,125.2167,36.05,71,87,16.11,CN,2021-03-15 06:19:40
148,san ramon,37.7799,-121.978,46.4,87,90,20.71,US,2021-03-15 06:17:12
149,te anau,-45.4167,167.7167,57.85,77,46,7.09,NZ,2021-03-15 06:15:41
150,araouane,18.9048,-3.5265,67.26,37,0,8.86,ML,2021-03-15 06:19:41
151,bilma,18.6853,12.9164,74.32,17,0,12.12,NE,2021-03-15 06:10:00
152,auki,-8.7676,160.7034,83.03,73,82,4.52,SB,2021-03-15 06:15:16
153,caravelas,-17.7125,-39.2481,72.64,87,1,2.84,BR,2021-03-15 06:14:58
154,jiaonan,35.8786,119.9753,55.4,76,90,4.47,CN,2021-03-15 06:19:42
155,golspie,57.9727,-3.978,39.99,80,37,5.99,GB,2021-03-15 06:19:43
156,mortka,59.3322,66.0214,17.87,96,79,10.09,RU,2021-03-15 06:19:44
157,ponta do sol,32.6667,-17.1,54.0,70,91,1.99,PT,2021-03-15 06:19:44
158,lompoc,34.6391,-120.4579,51.8,71,90,3.15,US,2021-03-15 06:10:01
159,pevek,69.7008,170.3133,-7.85,96,100,15.37,RU,2021-03-15 06:18:45
160,shingu,33.7333,135.9833,59.0,47,0,16.11,JP,2021-03-15 06:15:32
161,dondo,-19.6094,34.7431,82.4,83,20,8.05,MZ,2021-03-15 06:19:46
162,tommot,58.9564,126.2925,10.96,78,100,12.57,RU,2021-03-15 06:19:25
163,mackay,-21.15,149.2,87.01,62,39,12.66,AU,2021-03-15 06:14:49
164,ribeira grande,38.5167,-28.7,60.48,92,56,4.79,PT,2021-03-15 06:18:09
165,christchurch,-43.5333,172.6333,73.0,52,100,6.91,NZ,2021-03-15 06:19:47
166,faya,18.3851,42.4509,69.8,35,51,3.94,SA,2021-03-15 06:19:47
167,bengkulu,-3.8004,102.2655,85.71,65,18,6.22,ID,2021-03-15 06:19:48
168,port blair,11.6667,92.75,86.0,74,40,9.22,IN,2021-03-15 06:14:33
169,lagos,6.5833,3.75,77.0,94,20,3.44,NG,2021-03-15 06:16:55
170,isangel,-19.55,169.2667,78.8,89,75,6.91,VU,2021-03-15 06:19:49
171,vazhiny,60.9644,34.0222,34.0,99,100,6.13,RU,2021-03-15 06:19:49
172,bundaberg,-24.85,152.35,84.2,58,40,11.5,AU,2021-03-15 06:15:27
173,castro,-24.7911,-50.0119,61.81,91,29,1.92,BR,2021-03-15 06:19:50
174,karratha,-20.7377,116.8463,93.49,37,52,18.79,AU,2021-03-15 06:19:50
175,matagami,49.7502,-77.6328,-5.8,84,40,8.05,CA,2021-03-15 06:17:13
176,teguise,29.0605,-13.564,59.0,82,20,4.61,ES,2021-03-15 06:18:47
177,skibbereen,51.55,-9.2667,44.6,93,20,9.22,IE,2021-03-15 06:13:36
178,grand-santi,4.25,-54.3833,70.38,98,100,1.1,GF,2021-03-15 06:19:52
179,kingston,17.997,-76.7936,77.0,73,20,8.05,JM,2021-03-15 06:18:50
180,boende,-0.2167,20.8667,72.84,96,100,2.3,CD,2021-03-15 06:19:52
181,goderich,43.7501,-81.7165,23.0,54,0,9.22,CA,2021-03-15 06:17:09
182,oistins,13.0667,-59.5333,78.8,73,20,11.5,BB,2021-03-15 06:16:35
