City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
449,bartica,GY,75.2,6.4,-58.6167,Relax Inn Hotel
452,noumea,NC,82.4,-22.2763,166.4572,Hôtel Le Lagon
463,biak,ID,84.02,-0.9131,122.8766,Penginapan Kim
465,tarakan,ID,83.68,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
466,oum hadjer,TD,82.63,13.2954,19.6966,Hotels
467,manokwari,ID,83.55,-0.8667,134.0833,Swiss Belhotel Manokwari
468,vao,NC,76.93,-22.6667,167.4833,Hotel Kou-Bugny
473,mecca,SA,82.38,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
474,bandarbeyla,SO,80.56,9.4942,50.8122,JABIR HOTEL
484,gazipur,BD,89.6,23.9981,90.423,Murshida & Zakir's Nest
492,kirakira,SB,82.13,-10.4544,161.9205,SanBiz Lodge
494,dwarka,IN,84.94,22.2394,68.9678,Hotel Narayan Avezika Comfort
506,auki,SB,83.03,-8.7676,160.7034,Auki Motel
509,sibu,MY,89.6,2.3,111.8167,RH HOTEL (4 Star)
513,itupiranga,BR,77.0,-5.1347,-49.3267,Hotel Panorama
515,olinda,BR,75.2,-8.0089,-34.8553,Hotel Albergue de Olinda
518,port-gentil,GA,79.88,-0.7193,8.7815,Fengshui Residence
530,bonfim,BR,77.23,3.0833,-59.95,Hotels
534,nacala,MZ,79.29,-14.5428,40.6728,Nacala Plaza Business Design Hotel
544,agua dulce,MX,75.6,18.1333,-94.1333,Hotel Victoria
547,inhambane,MZ,78.8,-23.865,35.3833,Oceano
550,grand gaube,MU,77.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
553,phan thiet,VN,86.67,10.9333,108.1,Hotel Saigon-PT
556,tutoia,BR,76.35,-2.7619,-42.2744,Pousada Guará's
561,umm lajj,SA,78.01,25.0213,37.2685,Moon light Furnished Units
563,bac lieu,VN,85.8,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
564,mangan,IN,75.34,27.5167,88.5333,Hotel Mout View
565,micheweni,TZ,85.42,-4.9667,39.8333,Hotels
